,alpha,beta,emit,sig1,sig2,sig3,converge
scipy x 110,-6.411833407638599,439.05085349078314,2.243558385806704e-08,2.808867450292406,3.8681458877740136,4.454549902083269,0.0
gekko x 110,,,,2.808867450292406,3.8681458877740136,4.454549902083269,0.0
scipy x 111,-5.427143543304659,290.7510453716922,2.7538720946073098e-08,2.7956860944371575,3.24061271158834,4.439620142421247,0.0
gekko x 111,,,,2.7956860944371575,3.24061271158834,4.439620142421247,0.0
scipy x 112,-6.410600202830789,269.63687647429657,2.619095916669262e-08,2.63903802574366,3.116745581833711,4.586851426808038,0.0
gekko x 112,,,,2.63903802574366,3.116745581833711,4.586851426808038,0.0
scipy x 113,-2.283398037541651,91.06057866588314,8.123356446422409e-08,2.752753263946934,3.1748295103726916,4.882144326103353,1.0
gekko x 113,,,,2.752753263946934,3.1748295103726916,4.882144326103353,0.0
scipy x 114,-8.638477527169709,424.4149708109164,1.8732576385886023e-08,2.7379025774496646,3.361065633623705,4.541978507865232,0.0
gekko x 114,,,,2.7379025774496646,3.361065633623705,4.541978507865232,0.0
scipy x 115,-3.8376089753410287,201.6489047601563,3.854927393692589e-08,2.6362925481748003,3.2963410903289008,4.408480753236473,0.0
gekko x 115,,,,2.6362925481748003,3.2963410903289008,4.408480753236473,0.0
scipy x 116,-5.005289909276527,235.37053084564528,3.599228789569902e-08,2.808981232794435,3.4548085173245937,4.790179418645723,0.0
gekko x 116,,,,2.808981232794435,3.4548085173245937,4.790179418645723,0.0
scipy x 117,-8.787805360102432,323.3932371652572,2.1681523143721647e-08,2.657300735044457,3.150953931027681,4.841362659147697,0.0
gekko x 117,,,,2.657300735044457,3.150953931027681,4.841362659147697,0.0
scipy x 118,-2.749110269181986,186.25978737356147,5.196952882492622e-08,2.6967552609577505,3.819421049204646,4.482933316897226,0.0
gekko x 118,,,,2.6967552609577505,3.819421049204646,4.482933316897226,0.0
scipy x 119,-5.399694666286265,209.7015922638433,3.533880733580261e-08,2.623113498856422,3.315254644972798,4.856202118949458,0.0
gekko x 119,,,,2.623113498856422,3.315254644972798,4.856202118949458,0.0
scipy x 120,-3.4178890531273267,185.8868453176611,5.035355594423835e-08,2.595436842938604,3.871128433200558,4.733662249855979,0.0
gekko x 120,,,,2.595436842938604,3.871128433200558,4.733662249855979,0.0
scipy x 121,-9.779595436317129,352.9051032553233,1.8726605472043507e-08,2.5870053748784714,3.054601902852932,4.744286749785921,0.0
gekko x 121,,,,2.5870053748784714,3.054601902852932,4.744286749785921,0.0
scipy x 122,-4.3551076872294265,211.11228495427014,3.46445845692171e-08,2.603361655516891,3.184023172616346,4.4089308765560284,0.0
gekko x 122,,,,2.603361655516891,3.184023172616346,4.4089308765560284,0.0
scipy x 123,-4.077118897021048,182.5697546722964,4.3438167765001444e-08,2.6196207353647467,3.4355150152441065,4.733220693354165,0.0
gekko x 123,,,,2.6196207353647467,3.4355150152441065,4.733220693354165,0.0
scipy x 124,-2.892231388018073,190.68968807090297,5.067237132682628e-08,2.7736333643674325,3.7482908705353903,4.524323452978321,0.0
gekko x 124,,,,2.7736333643674325,3.7482908705353903,4.524323452978321,0.0
scipy x 125,-0.8406961037907682,46.574634226665886,1.593134522610354e-07,2.747855197919548,3.071863675253225,4.581660189157539,1.0
gekko x 125,,,,2.747855197919548,3.071863675253225,4.581660189157539,0.0
scipy x 126,-3.129383182456532,204.48761412770185,4.722006963858311e-08,2.803247646683187,3.7436178716076722,4.529519500985505,0.0
gekko x 126,,,,2.803247646683187,3.7436178716076722,4.529519500985505,0.0
scipy x 127,-6.789889415677626,321.51493815803815,2.495922648798265e-08,2.807243741861363,3.3017993559206307,4.649987280292822,0.0
gekko x 127,,,,2.807243741861363,3.3017993559206307,4.649987280292822,0.0
scipy x 128,-0.48436941285263396,30.696563520849715,2.3893922992019955e-07,2.72922242657751,3.045462432727726,4.8265767655037095,1.0
gekko x 128,,,,2.72922242657751,3.045462432727726,4.8265767655037095,0.0
scipy x 129,-4.098254297343462,221.05475702161027,3.729364755050472e-08,2.757882385629487,3.3546914149949822,4.495007123470346,0.0
gekko x 129,,,,2.757882385629487,3.3546914149949822,4.495007123470346,0.0
scipy x 130,-2.82397033330971,166.35490117976474,5.516702849962467e-08,2.761086234061109,3.7001418175985035,4.577231530584016,0.0
gekko x 130,,,,2.761086234061109,3.7001418175985035,4.577231530584016,0.0
scipy x 131,-0.36809891081814883,31.764806179282726,2.3246082718270494e-07,2.7328869251220733,2.9783855827628876,4.505782868197518,1.0
gekko x 131,,,,2.7328869251220733,2.9783855827628876,4.505782868197518,0.0
scipy x 132,-5.37608416850633,209.36304950228094,3.628291696822738e-08,2.624992016173783,3.392149859035652,4.908105138418294,0.0
gekko x 132,,,,2.624992016173783,3.392149859035652,4.908105138418294,0.0
